"","x"
"(Intercept)",-16.1168167841898
"t_num",0.00575982034195594
"I(t_num^2)",-4.5221228586964e-07
"word_count",-0.000737627804986682
"headline_main_len",0.0391815452526686
"snippet_len",0.0657052463522887
"section_nameArchives",63.7462515939734
"section_nameArts",14.0065929069194
"section_nameAt Home",8.764306853834
"section_nameBooks",15.107628427248
"section_nameBriefing",12.7702441982358
"section_nameBusiness Day",15.3765643102523
"section_nameClimate",9.17869537193508
"section_nameCrosswords & Games",4.23413937994676
"section_nameEducation",16.4031148522282
"section_nameFashion & Style",14.3320677907679
"section_nameFood",10.8678888086026
"section_nameHealth",16.2008510020391
"section_nameHome & Garden",-6.26512453469945
"section_nameMagazine",12.3289897699839
"section_nameMovies",12.4967299969555
"section_nameNew York",16.0963494134332
"section_nameObituaries",18.8509320757261
"section_nameOpinion",7.18171739027921
"section_nameParenting",12.9871654865068
"section_namePodcasts",15.7119701754774
"section_nameReader Center",33.1501131894997
"section_nameReal Estate",12.2067223778744
"section_nameScience",11.7126786578052
"section_nameSmarter Living",12.8029350645412
"section_nameSports",14.7694510443717
"section_nameStyle",16.9523571388177
"section_nameSunday Review",11.2125406589915
"section_nameT Magazine",12.9608573396595
"section_nameTechnology",16.1721786366856
"section_nameThe Learning Network",2.39188734073985
"section_nameThe Upshot",11.75886120903
"section_nameTheater",12.9401261572539
"section_nameTimes Insider",15.0166710567407
"section_nameTravel",6.90249755088666
"section_nameU.S.",17.4508144475712
"section_nameVideo",23.3497106386352
"section_nameWell",10.3492702338085
"section_nameWorld",16.8692119682759
"print",-1.7497877238237
"topic_1",-3.03274403102046
"topic_2",-18.04494954711
"topic_3",0.600933363957754
"topic_4",-7.75604008391373
"topic_5",8.56348225566904
"topic_6",11.782160031057
"topic_7",-1.46749444151123
"topic_8",1.51044162181238
"topic_9",-2.0765012256955
"topic_10",7.69857733488193
"topic_11",18.5306629505136
"topic_12",-11.6076270396729
"topic_13",-11.3966162950831
"topic_14",5.40313875842579
"topic_15",6.85321349973388
"topic_16",15.6130028042226
"topic_17",-33.5011415783023
"topic_18",7.4709349541483
"topic_19",7.99081926868139
"topic_20",19.6586571921951
"topic_21",-32.5424495310886
"topic_22",-5.85615467228566
"topic_23",3.61893903330993
"topic_24",3.27882010498554
"topic_25",18.3883406947378
"topic_26",1.19630481350508
"topic_27",13.7760401184305
"topic_28",-9.7436713853075
"topic_29",6.53719563345715
"topic_30",7.22185285591635
"topic_31",12.461096817764
"topic_32",-5.78372076048685
"topic_33",13.2490116575628
"topic_34",-16.2868078850622
"topic_35",-7.93944193849273
"topic_36",14.6331391319025
"topic_37",3.44321186141119
"topic_38",8.24822357402769
"topic_39",-15.300867611331
