date,rank,id_emailed,id_viewed,id_facebook
2019-02-03,17,1606,13046,10137
2019-02-03,18,10137,2854,13789
2019-02-03,19,7824,9939,3575
2019-02-03,20,2597,3575,1879
2019-02-08,1,10144,10144,10144
2019-02-08,2,8027,6635,2766
2019-02-08,3,4486,5700,4666
2019-02-08,4,7986,9456,13657
2019-02-08,5,4484,6820,12354
2019-02-08,6,1596,2314,2708
2019-02-08,7,7631,6605,10211
2019-02-08,8,12197,4666,11261
2019-02-08,9,6618,6027,11582
2019-02-08,10,8480,12068,319
2019-02-08,11,8730,124,4581
2019-02-08,12,12726,13816,7625
2019-02-08,13,11261,8113,791
2019-02-08,14,4977,13851,4484
2019-02-08,15,10941,9551,5111
2019-02-08,16,9377,7959,9584
2019-02-08,17,13062,13300,6635
2019-02-08,18,4696,10658,9109
2019-02-08,19,2264,12017,3575
2019-02-08,20,716,8350,12184
2019-02-10,1,5216,10144,3065
2019-02-10,2,1089,6635,5216
2019-02-10,3,5091,9456,4666
2019-02-10,4,3680,6820,1236
2019-02-10,5,13814,4666,5275
2019-02-10,6,3410,6027,7819
2019-02-10,7,4666,2314,11261
2019-02-10,8,1236,13851,13814
2019-02-10,9,11031,7346,1774
2019-02-10,10,13317,9551,10211
2019-02-10,11,12988,7959,11883
2019-02-10,12,7819,12017,13147
2019-02-10,13,3585,4696,7561
2019-02-10,14,7561,10658,5308
2019-02-10,15,13414,8350,251
2019-02-10,16,1648,1879,12726
2019-02-10,17,3917,5384,10945
2019-02-10,18,11261,1774,1089
2019-02-10,19,13147,3335,3864
2019-02-10,20,11554,2305,13394
2019-02-16,1,10197,5909,7424
2019-02-16,2,4868,1358,1358
2019-02-16,3,7424,11883,5909
2019-02-16,4,6374,13888,719
2019-02-16,5,9866,245,13029
2019-02-16,6,1358,1774,10181
2019-02-16,7,9582,5216,13557
2019-02-16,8,827,13557,10038
2019-02-16,9,11739,3065,5396
2019-02-16,10,11100,1244,229
2019-02-16,11,9439,7819,9722
2019-02-16,12,7450,5091,12148
2019-02-16,13,5529,229,6374
2019-02-16,14,10181,10754,1740
2019-02-16,15,12696,7346,7115
2019-02-16,16,3990,13029,6473
2019-02-16,17,5909,12726,4868
2019-02-16,18,3717,4666,10599
2019-02-16,19,14038,11261,1859
2019-02-16,20,7115,814,8312
2019-02-17,1,7424,7424,7424
2019-02-17,2,6374,5909,13728
2019-02-17,3,1972,1358,10181
2019-02-17,4,12696,11883,719
2019-02-17,5,827,719,5909
2019-02-17,6,8033,13888,6223
2019-02-17,7,3223,13557,11739
2019-02-17,8,11100,245,8312
2019-02-17,9,11739,1774,6374
2019-02-17,10,9582,5216,13767
2019-02-17,11,12900,3065,4666
2019-02-17,12,4833,1244,1358
2019-02-17,13,11524,7819,4677
2019-02-17,14,7447,229,1972
2019-02-17,15,13285,5091,6388
2019-02-17,16,5529,10754,11502
2019-02-17,17,12833,5396,11524
2019-02-17,18,7406,13029,13341
2019-02-17,19,6388,8312,7264
2019-02-17,20,6145,10181,10599
